Ano,Regiao,NrObitosInfantis,povoamento,PIB_per_capita
2016,Nordeste,6.406354515050167,96.68743032329989,10261.661422968997
2016,Norte,10.612472160356347,24.366636971046773,14651.461856240756
2016,Sudeste,6.128273381294964,210.4200659472422,23867.43360698136
2017,Nordeste,6.398550724637682,97.35367892976589,11206.273695671283
2017,Norte,10.734966592427616,24.638574610244987,16265.681142258894
2017,Sudeste,6.670197841726618,212.00880695443647,25234.16569193
2018,Nordeste,6.29654403567447,96.76551282051281,12053.81931779014
2018,Norte,10.89086859688196,24.97510022271715,17307.4358500905
2018,Sudeste,6.588021582733813,214.4509412470024,26402.441663368856
2019,Nordeste,6.1438127090301,97.3699331103679,12659.471327901996
2019,Norte,10.538975501113585,25.242761692650333,18437.23066106212
2019,Sudeste,6.5490287769784175,216.22526978417267,27900.564269966384
2020,Nordeste,5.564659977703456,97.96608695652174,15289.902384367284
2020,Norte,9.752783964365257,25.505367483296215,23684.46887814662
2020,Sudeste,5.735311750599521,217.9567685851319,31051.35901666529
2021,Nordeste,5.59866220735786,98.54717948717949,19940.796885555632
2021,Norte,10.352678571428571,25.79732142857143,30627.49325594504
2021,Sudeste,5.769759903961584,213.51611644657862,38933.2568708684
