Ano,Regiao,NrObitosInfantis,povoamento
2016,Centro-Oeste,6.390557939914163,33.0737982832618
2016,Nordeste,6.406354515050167,96.68743032329989
2016,Norte,10.612472160356347,24.366636971046773
2016,Sudeste,6.128273381294964,210.4200659472422
2016,Sul,3.281144781144781,83.89607744107744
2017,Centro-Oeste,6.105150214592275,33.55304721030043
2017,Nordeste,6.398550724637682,97.35367892976589
2017,Norte,10.734966592427616,24.638574610244987
2017,Sudeste,6.670197841726618,212.00880695443647
2017,Sul,3.393097643097643,84.5944276094276
2018,Centro-Oeste,6.225321888412017,34.40399141630901
2018,Nordeste,6.29654403567447,96.76551282051281
2018,Norte,10.89086859688196,24.97510022271715
2018,Sudeste,6.588021582733813,214.4509412470024
2018,Sul,3.308922558922559,85.31138888888889
2019,Centro-Oeste,6.124463519313305,34.96047210300429
2019,Nordeste,6.1438127090301,97.3699331103679
2019,Norte,10.538975501113585,25.242761692650333
2019,Sudeste,6.5490287769784175,216.22526978417267
2019,Sul,3.3223905723905722,86.08308922558923
2020,Centro-Oeste,5.532188841201717,35.505708154506436
2020,Nordeste,5.564659977703456,97.96608695652174
2020,Norte,9.752783964365257,25.505367483296215
2020,Sudeste,5.735311750599521,217.9567685851319
2020,Sul,2.8594276094276094,86.85063973063973
2021,Centro-Oeste,5.766094420600858,36.03545064377683
2021,Nordeste,5.59866220735786,98.54717948717949
2021,Norte,10.352678571428571,25.79732142857143
2021,Sudeste,5.769759903961584,213.51611644657862
2021,Sul,2.882996632996633,87.57914141414142
