Ano,Regiao,PIB_per_capita
2016,Centro-Oeste,31205.931684570776
2016,Nordeste,10261.661422968997
2016,Norte,14651.461856240756
2016,Sudeste,23867.433606981354
2016,Sul,31523.78277741901
2017,Centro-Oeste,31690.967136319367
2017,Nordeste,11206.273695671283
2017,Norte,16265.681142258896
2017,Sudeste,25234.16569193
2017,Sul,32275.507093455573
2018,Centro-Oeste,33629.34510646698
2018,Nordeste,12053.81931779014
2018,Norte,17307.4358500905
2018,Sudeste,26402.441663368856
2018,Sul,34936.97219138688
2019,Centro-Oeste,34705.17625098208
2019,Nordeste,12659.471327901996
2019,Norte,18437.23066106212
2019,Sudeste,27900.564269966384
2019,Sul,36433.99950027987
2020,Centro-Oeste,43256.15441596675
2020,Nordeste,15289.902384367284
2020,Norte,23684.46887814662
2020,Sudeste,31051.3590166653
2020,Sul,40792.46985488667
